model,effort,n,mean_usd,se_usd,total_usd,long_context_upper_mean_usd,mean_tokens,se_tokens,total_tokens,mean_minutes,fallbacks
astra,low,23,1.721698,0.414195,39.599052,3.283855,890204,286126,20474694,4.2187,0
astra,medium,23,1.481347,0.155978,34.070974,2.791000,684214,92675,15736923,3.8226,0
astra,high,23,1.711065,0.165132,39.354490,3.217211,767512,102297,17652773,4.8999,0
astra,extra-high,23,2.302022,0.244348,52.946512,4.253697,927474,134693,21331912,8.0905,0
astra,max,23,2.568128,0.283859,59.066950,4.689675,949887,164670,21847403,10.2805,0
fable,low,23,7.963719,2.218112,183.165540,7.963719,4384071,1743553,100833634,26.8970,1
fable,medium,23,9.186010,2.659725,211.278222,9.186010,6972178,3284332,160360100,31.7213,3
fable,high,23,9.701575,2.390257,223.136219,9.701575,5488274,2326402,126230303,28.7614,2
fable,extra-high,23,14.485635,4.229535,333.169606,14.485635,11435379,5032568,263013721,38.7732,3
fable,max,23,9.058763,0.869993,208.351556,9.058763,3823313,800507,87936207,27.0964,2
