model,effort,n,combined_v3,combined_v3_se,combined_20pct,code_quality,code_quality_se,readability,maintainability,intent_recovery,muse_l1,grok_l1,minutes,passed,fallbacks
astra,low,23,87.4325,0.5104,89.2854,70.3092,1.0283,60.9601,72.9167,79.2980,65.6703,68.2065,4.2187,22,0
astra,medium,23,87.7262,0.3185,89.3573,71.1864,0.9181,61.6848,74.0036,80.0989,64.9457,70.7428,3.8226,23,0
astra,high,23,88.1580,0.4248,89.2443,73.4751,1.2433,63.9493,77.1739,81.2446,68.2065,72.9167,4.8999,23,0
astra,extra-high,23,89.1616,0.2971,90.2506,75.4749,0.9368,67.8442,78.3514,81.8139,72.1014,74.0942,8.0905,23,0
astra,max,23,89.3033,0.3663,90.1988,76.2645,0.8840,69.1123,79.8007,81.0857,73.5507,75.3623,10.2805,23,0
fable,low,23,89.1225,1.1538,90.5642,78.3565,1.9838,76.9022,79.7101,78.4906,78.7138,77.8986,26.8970,19,1
fable,medium,23,90.1293,0.9394,91.1016,80.1382,1.1928,78.8043,81.5217,80.0720,80.2536,80.0725,31.7213,20,3
fable,high,23,90.0689,0.7822,90.3820,80.8610,1.5624,79.8007,82.8804,79.5820,81.2500,81.4312,28.7614,20,2
fable,extra-high,23,90.7543,0.8210,90.9243,81.9336,1.5013,80.8877,83.8768,80.7371,82.7899,81.9746,38.7732,22,3
fable,max,23,91.8365,0.4651,92.3103,82.4337,1.0986,80.7971,84.5109,81.8462,83.4239,81.8841,27.0964,23,2
